2026-01-31 20:25:19 - INFO - === SERVER STARTED ===
2026-01-31 20:25:20 - INFO - POST /webhook - Vehicle detected. Total count: 1
2026-01-31 20:25:20 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 20:26:15 - INFO - POST /NotificationInfo/TollgateInfo - VEHICLE #2 - Plate: MH17BYS395, Saved: 1 images
2026-01-31 20:30:20 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 20:35:20 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 20:40:20 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 20:45:20 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 20:50:20 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 20:55:20 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 21:00:20 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 21:05:20 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 21:10:20 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 21:15:20 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 21:20:20 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 21:25:20 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 21:30:20 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 21:35:20 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 21:40:20 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 21:45:20 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 21:50:20 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 21:55:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 22:00:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 22:05:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 22:10:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 22:15:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 22:20:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 22:25:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 22:30:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 22:35:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 22:40:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 22:45:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 22:50:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 22:55:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 23:00:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 23:05:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 23:10:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 23:15:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 23:20:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 23:25:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 23:30:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 23:35:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 23:40:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 23:45:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 23:50:21 - INFO - POST/GET /health from 192.168.1.108
2026-01-31 23:55:21 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 00:00:21 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 00:05:21 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 00:10:21 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 00:15:21 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 00:20:21 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 00:25:21 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 00:30:21 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 00:35:21 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 00:40:21 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 00:45:21 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 00:50:21 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 00:55:21 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 01:00:21 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 01:05:21 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 01:10:21 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 01:15:21 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 01:20:21 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 01:25:21 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 01:30:21 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 01:35:21 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 01:40:21 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 01:45:22 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 01:50:22 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 01:55:22 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 02:00:22 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 02:05:22 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 02:09:23 - INFO - POST /webhook - Vehicle detected. Total count: 3
2026-02-01 02:13:30 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 02:18:30 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 02:23:30 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 02:28:30 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 02:33:30 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 02:38:30 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 02:43:30 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 02:48:30 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 02:53:30 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 02:58:31 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 03:03:31 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 03:08:31 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 03:13:31 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 03:18:31 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 03:23:31 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 03:28:31 - INFO - POST/GET /health from 192.168.1.108
2026-02-01 03:33:31 - INFO - POST/GET /health from 192.168.1.108
